# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: D:\EE\EE314\Project\QuartusProjectFiles\SaleTerminal.csv
# Generated on: Wed Jul 14 13:57:44 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
CLOCK_50,Input,PIN_AF14,3B,B3B_N0,PIN_AF14,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[6],Output,PIN_AH28,5A,B5A_N0,PIN_AH28,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[5],Output,PIN_AG28,5A,B5A_N0,PIN_AG28,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[4],Output,PIN_AF28,5A,B5A_N0,PIN_AF28,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[3],Output,PIN_AG27,5A,B5A_N0,PIN_AG27,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[2],Output,PIN_AE28,5A,B5A_N0,PIN_AE28,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[1],Output,PIN_AE27,5A,B5A_N0,PIN_AE27,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[0],Output,PIN_AE26,5A,B5A_N0,PIN_AE26,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[6],Output,PIN_AD27,5A,B5A_N0,PIN_AD27,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[5],Output,PIN_AF30,5A,B5A_N0,PIN_AF30,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[4],Output,PIN_AF29,5A,B5A_N0,PIN_AF29,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[3],Output,PIN_AG30,5A,B5A_N0,PIN_AG30,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[2],Output,PIN_AH30,5A,B5A_N0,PIN_AH30,3.3-V LVTTL,,,,,,,,,,,,,
